2019-05-25 09:28:05,924 [Worker-4] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2019-05-25 09:28:32,765 [Worker-6] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Collecting project info '/pom.xml' C:\Users\3C Tech\Desktop\paf_exam\paf\paf\pom.xml
2019-05-25 09:28:33,745 [Worker-6] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: paf:paf:0.0.1-SNAPSHOT @ C:\Users\3C Tech\Desktop\paf_exam\paf\paf\pom.xml.
2019-05-25 09:28:34,400 [Worker-6] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /paf/src/main/java
2019-05-25 09:28:34,401 [Worker-6] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /paf/src/main/resources
2019-05-25 09:28:34,402 [Worker-6] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /paf/src/test/java
2019-05-25 09:28:37,475 [Worker-6] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 4 sec
2019-05-25 09:28:37,817 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-05-25 09:28:37,822 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-05-25 09:28:37,825 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-05-25 09:28:37,826 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\3C Tech\Desktop\paf_exam\paf\paf\src\test\resources
2019-05-25 09:28:38,998 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-05-25 09:28:39,001 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
